ASV,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_100,JUN_110,JUN_130,AUG_100,AUG_110,AUG_130,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
Zotu9,507,899,369,115,4,0,41,16,106,14,34,72,152,138,343,112,311,32
Zotu1,4753,9290,10914,6156,6018,10304,7709,3911,6378,3662,3655,5551,15117,9746,12203,8785,17643,6488
Zotu3,274,561,2630,2702,2458,3824,896,683,1498,333,421,678,2112,1865,2103,1285,1854,1396
Zotu4,0,3,11,7,14,21,4,4,4,3,2,7,15,9,8,10,9,11
Zotu30,5,14,44,25,0,0,0,4,10,0,0,7,5,26,28,5,12,14
Zotu6,711,1565,470,354,15,1,79,25,260,48,88,280,402,471,966,201,1050,119
Zotu7,28,73,490,860,49,9,41,53,459,12,21,116,143,342,477,88,147,141
Zotu57,31,42,36,13,5,6,14,7,10,6,10,1,13,7,10,11,47,4
Zotu124,6,10,10,0,0,0,7,1,1,1,0,0,5,2,6,2,13,2
Zotu14,143,333,143,47,12,21,59,32,54,39,40,7,99,26,45,47,158,13
Zotu26,24,35,31,4,1,0,5,0,8,0,5,0,86,39,131,37,132,3
Zotu2,121,209,71,14,8,16,150,65,95,78,41,76,154,45,72,75,224,29
Zotu35,20,48,31,5,0,2,19,3,10,9,8,3,28,15,11,28,21,2
Zotu20,119,221,59,23,0,0,5,1,11,3,1,4,27,10,42,14,67,3
Zotu134,3,4,5,2,0,0,1,0,0,0,2,4,3,4,14,4,3,0
Zotu13,7,12,14,5,0,0,2,0,8,1,1,6,6,12,15,6,14,2
Zotu29,23,31,37,6,3,0,27,12,7,13,4,2,47,11,27,18,57,1
Zotu71,1,2,4,0,0,0,4,2,3,2,1,0,0,0,3,1,10,0
Zotu32,44,50,39,7,2,4,44,13,5,7,8,5,75,24,35,27,63,2
Zotu193,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zotu190,2,4,4,5,0,0,0,0,0,0,0,1,2,3,6,1,4,0
Zotu34,39,126,17,1,0,0,5,4,27,1,1,5,8,9,12,4,33,2
Zotu19,86,167,5,0,0,1,3,5,21,1,2,11,8,14,27,12,106,0
Zotu36,0,0,6,23,0,0,0,3,16,0,3,5,10,23,35,4,5,4
Zotu69,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Zotu23,5,16,8,2,0,3,4,2,7,0,1,1,7,3,4,3,10,0
Zotu216,0,0,5,1,0,0,0,1,0,0,0,0,0,2,9,0,0,0
Zotu22,150,270,26,0,0,1,2,0,9,0,1,4,2,3,3,0,13,1
Zotu233,0,3,1,0,0,1,0,0,2,1,1,0,0,1,0,0,2,1
Zotu50,7,18,5,1,2,7,8,2,12,0,1,2,3,4,6,4,16,3
Zotu78,3,13,2,1,0,0,2,0,1,2,0,0,2,0,1,0,6,0
Zotu54,9,39,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Zotu93,1,2,1,0,0,1,4,0,4,0,1,0,0,0,1,0,2,1
Zotu5,2,3,10,13,6,7,6,2,10,1,1,3,8,3,8,7,6,3
Zotu48,1,1,2,0,0,0,2,2,1,0,0,0,2,0,0,7,5,0
Zotu18,243,341,38,1,0,0,5,4,20,3,2,3,28,11,19,6,41,5
Zotu10,127,261,4,1,0,0,1,2,17,2,0,7,5,7,21,8,68,1
Zotu171,0,3,2,1,0,0,0,0,0,0,0,1,1,3,5,0,3,0
Zotu65,6,13,7,0,3,4,3,2,13,0,1,1,1,3,3,3,7,1
Zotu51,2,2,11,1,0,0,10,2,0,1,2,0,18,10,18,9,6,2
Zotu92,0,7,3,0,0,0,1,1,2,0,3,0,1,0,0,0,3,0
Zotu47,2,3,7,0,0,0,2,0,1,0,0,0,6,3,2,1,5,0
Zotu68,0,1,1,0,0,0,0,0,2,0,0,0,2,1,2,1,0,0
Zotu45,4,4,1,0,0,0,0,0,0,0,0,0,4,2,3,2,13,0
Zotu11,49,110,2,0,0,0,1,0,7,4,2,6,7,16,38,13,113,5
Zotu83,2,7,1,0,0,3,2,3,4,0,0,0,1,0,1,3,8,0
Zotu55,1,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Zotu122,1,3,3,0,0,1,2,0,2,1,0,0,0,0,1,1,7,0
Zotu58,8,31,3,0,0,0,0,0,1,0,0,1,0,1,0,0,4,0
Zotu237,3,4,4,0,0,0,0,0,2,0,0,1,5,5,4,2,7,2
Zotu15,22,37,2,0,0,0,0,1,8,3,7,3,1,4,20,3,40,0
Zotu31,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,3,0,0
Zotu86,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
Zotu21,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
Zotu235,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
Zotu53,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Zotu63,0,0,1,0,17,30,0,0,1,0,0,0,0,0,0,0,0,3
Zotu201,3,7,1,1,0,0,0,0,2,0,0,0,3,5,7,0,3,0
Zotu120,1,3,2,0,1,0,4,0,4,2,1,0,2,3,2,1,4,0
Zotu27,1,3,1,0,0,0,0,0,0,0,1,0,0,1,3,3,4,1
Zotu151,1,3,1,0,0,0,0,0,5,0,0,0,4,2,3,0,4,0
Zotu74,1,4,3,0,0,1,3,1,2,1,1,0,1,0,1,3,2,0
Zotu8,590,1093,4,1,0,0,6,0,26,2,4,2,12,23,38,16,177,4
Zotu187,6,19,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Zotu110,1,2,1,0,0,0,1,0,0,0,0,0,2,0,1,0,2,0
Zotu128,0,0,1,0,0,0,2,0,1,0,0,1,0,1,0,0,2,0
Zotu41,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,4,1,0
Zotu132,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zotu119,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu133,0,1,1,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0
Zotu181,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,4,0
Zotu227,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu149,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu98,6,3,1,1,0,0,2,0,1,0,0,1,1,1,0,1,3,0
Zotu84,2,3,1,3,0,1,1,1,0,0,1,0,1,0,1,1,1,1
Zotu262,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu38,1,3,2,0,0,0,3,0,2,0,0,0,0,0,1,1,3,0
Zotu141,2,16,1,0,0,0,0,0,0,0,0,1,0,1,5,1,6,0
Zotu175,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Zotu260,0,0,1,0,0,0,0,0,1,0,0,0,0,4,1,0,1,0
Zotu117,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Zotu16,8,21,2,0,0,0,2,0,4,9,4,11,5,6,31,7,96,4
Zotu123,0,0,0,1,0,0,3,0,1,0,0,0,0,0,3,0,1,0
Zotu28,0,1,0,7,99,112,0,0,5,1,0,0,0,0,0,0,3,12
Zotu114,1,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,4,1
Zotu40,0,0,0,1,48,38,0,0,5,0,0,0,0,1,0,0,0,9
Zotu189,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu37,0,0,0,1,72,50,0,0,4,0,0,0,0,0,1,0,0,8
Zotu42,0,0,0,1,53,63,0,0,1,0,0,0,0,1,0,0,0,4
Zotu155,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu101,0,0,0,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0
Zotu178,0,0,0,1,6,4,0,0,0,0,0,0,0,0,1,1,0,1
Zotu125,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,2,0,1
Zotu52,0,0,0,0,29,26,0,0,2,0,0,0,0,0,0,0,0,4
Zotu263,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0
Zotu75,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0
Zotu85,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0
Zotu135,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Zotu245,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu198,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Zotu81,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
Zotu118,3,4,0,0,1,0,1,0,1,0,0,1,0,3,1,0,3,0
Zotu199,0,2,0,0,1,0,2,0,1,1,0,1,1,1,0,0,0,0
Zotu144,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Zotu95,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
Zotu94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zotu161,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Zotu246,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Zotu154,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1
Zotu105,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Zotu150,9,18,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
Zotu24,76,121,0,0,0,0,2,0,9,2,5,10,3,4,3,0,15,1
Zotu61,18,47,0,0,0,0,0,0,4,0,0,1,0,0,3,0,3,0
Zotu258,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu49,3,5,0,0,0,0,0,0,0,0,0,0,0,1,8,3,13,1
Zotu148,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu219,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Zotu130,11,19,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0
Zotu153,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Zotu152,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0
Zotu224,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu252,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zotu12,2,3,0,0,0,0,0,0,1,0,0,0,2,5,8,1,25,0
Zotu72,10,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0
Zotu218,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu172,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu90,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0
Zotu100,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu44,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu176,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Zotu60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Zotu107,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu145,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Zotu242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu143,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu185,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
Zotu140,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu116,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Zotu261,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu33,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu25,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu167,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
Zotu266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu256,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu259,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu62,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
Zotu211,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu46,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,2,10,0
Zotu210,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu103,0,3,0,0,0,0,1,0,2,0,0,1,0,0,0,1,4,0
Zotu236,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0
Zotu247,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu183,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zotu240,0,1,0,0,0,0,0,0,0,0,0,1,2,0,7,0,2,0
Zotu207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu232,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Zotu164,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Zotu76,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
Zotu254,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Zotu253,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu238,0,3,0,0,0,0,0,0,0,0,0,1,0,1,5,0,7,0
Zotu129,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Zotu205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu206,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu267,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu208,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu67,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Zotu217,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu214,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu138,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu213,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
Zotu186,0,1,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0
Zotu104,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Zotu234,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
Zotu43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Zotu255,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Zotu113,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu157,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Zotu228,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Zotu99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu222,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Zotu139,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Zotu111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Zotu180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Zotu136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Zotu241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Zotu17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Zotu106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Zotu200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zotu73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Zotu64,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
Zotu112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Zotu226,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Zotu248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu249,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zotu88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu204,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0