Sample_ID,Month,Depth,Pressure,Potential_temp,Temp,Sal,O2Mol,O2Inc,N2OMol,N2O_SD,delta_N2O,N2OSat,O2Sat,AOU,NH4Mol,NO2Mol,NO3Mol,NH4_Prod,NH4_Prod_SD,NO2_Prod,NO2_Prod_SD,NO3_Prod,NO3_Prod_SD,Nitrification,Nitrification_SD,SP_N2O
APR_75,4,75,75.173,8.156879509,8.17,30.27,211.127,84.451,15.753,0.092,3.988,Over,295.914,84.787,1.035,0.286,28.461,0.009,0.001,0.004,0.004,0,0.002,36.112,6.395,20.084
APR_90,4,90,90.522,8.43952231,8.5,30.52,142.413,56.965,14.755,0.571,3.147,Over,293.186,150.773,1.012,0.266,28.791,0.145,0.008,0.02,0.001,0,0.004,510.861,65.35,19.5405
APR_100,4,100,100.506,8.851020075,8.99,30.85,49.382,19.753,14.554,0.07,3.17,Over,289.296,239.915,0.995,0.042,21.923,0.353,0.048,0.028,0.002,0,0.003,597.2,193.296,24.564
APR_110,4,110,110.59,9.360752032,9.31,31.04,9.975,3.99,10.133,0.258,-1.109,Under,286.855,276.88,0.546,0.286,5.609,0.311,0.021,0.21,0.033,0.678,0.251,227.729,7.311,16.542
APR_130,4,130,130.645,9.585005934,9.6,31.28,1.064,0.426,1.781,0.255,-9.329,Under,284.534,283.47,5.363,0.002,0.041,0.002,0.001,0.027,0.008,0.234,0.129,0.084,0.009,NA
APR_160,4,160,160.741,9.58718838,9.6,31.35,1.316,0.526,2.02,0.586,-9.086,Under,284.391,283.075,7.588,0.002,0.101,0,0,0.011,0.006,0.306,0.097,0.063,0.159,NA
JUN_75,6,75,75.651,9.046207402,9.05,30.6,135.215,54.086,18.897,0.307,7.524,Over,289.4,154.185,0.194,0.083,29.386,0.006,0.001,0.007,0.001,0,0.006,44.344,1.3,19.899
JUN_90,6,90,90.785,9.096719298,9.11,30.82,121.281,48.512,20.352,0.413,9.211,Over,288.604,167.323,0.815,0.042,28.092,0.019,0.005,0.007,0.001,0,0.013,102.984,8.685,20.338
JUN_100,6,100,100.875,9.145347557,9.16,30.89,106.121,42.448,18.638,0.522,7.325,Over,288.141,182.02,1.886,0.164,26.954,0.043,0.004,0.006,0.011,0.003,0.007,292.301,26.388,20.474
JUN_110,6,110,110.965,9.165489347,9.18,30.96,81.753,32.701,17.091,0.154,5.79,Over,287.87,206.117,1.653,0.266,19.542,0.046,0.01,0.011,0.001,0.001,0.002,191.584,18.334,18.197
JUN_130,6,130,131.147,9.389270708,9.4,31.13,60.962,24.385,11.065,0.261,-0.013,Under,286.07,225.108,2.711,0.266,11.201,0.034,0.009,0.006,0.018,0,0.036,71.507,2.629,21.3525
JUN_160,6,160,161.424,9.577635326,9.59,31.31,2.757,1.103,1.865,0.732,-9.246,Under,284.501,281.744,9.047,0.022,0.128,0,0,0.571,0.184,4.307,2.199,0,0,NA
AUG_75,8,75,76.13633333,9.257887493,9.36,30.85,70.662,28.265,20.399,0.129,9.164,Over,286.957,216.295,0,0.002,28.4,0.003,0,0,0.002,0,0.003,8.386,0.594,21.946
AUG_90,8,90,91.072,9.5430583,9.51,31,74.54,29.816,22.191,0.28,11.03,Super,285.634,211.094,0.6,0.266,28.955,0.022,0.002,0.004,0.003,0.005,0.001,90.514,7.055,21.7345
AUG_100,8,100,101.1006667,9.499000527,9.56,31.06,70.565,28.226,23.246,0.528,12.106,Super,285.242,214.677,0.354,0.063,27.964,0.03,0.007,0.003,0.004,0.004,0.005,133.971,14.926,19.787
AUG_110,8,110,111.0057778,9.502173382,9.51,31.12,62.071,24.828,22.553,0.061,11.399,Super,285.397,223.326,2.612,0.063,26.914,0.038,0.011,0.002,0.001,0,0.003,126.908,7.09,21.222
AUG_130,8,130,131.2454444,9.506073459,9.53,31.2,40.769,16.308,21.002,0.767,9.86,Over,285.124,244.355,0.33,0.327,19.773,0.014,0.003,0,0.003,0.004,0.002,39.763,5.235,23.324
AUG_160,8,160,161.1162222,9.51858461,9.53,31.27,1.744,0.698,3.47,0.203,-7.667,Under,284.961,283.217,9.41,0.002,0.116,0.03,0.016,0.081,0.053,0.199,0.057,0.678,0.395,11.096
OCT_75,10,75,75.238,9.929309206,9.97,31.22,101.49,210.042,27.45,0.742,16.482,Super,282.356,180.866,0,0.103,31.537,0.017,0.002,0,0.002,0,0.028,42.4,1.596,22.1175
OCT_90,10,90,90.231,9.887195845,9.88,31.3,70.947,198.194,28.922,0.881,17.924,Super,282.742,211.795,0.462,0.388,31.295,0.028,0.007,0,0.001,0.022,0.012,65.168,5.881,22.754
OCT_100,10,100,100.54,9.826921842,9.84,31.33,58.382,192.157,28.737,0.41,17.726,Super,282.919,224.537,0,0.184,30.423,0.15,0.013,0.045,0.01,0.003,0.003,279.941,26.973,22.842
OCT_110,10,110,110.425,9.802670965,9.82,31.34,43.085,187.078,22.746,0.708,11.727,Super,283.023,239.938,0,0.022,27.625,0.085,0.006,0.019,0.002,0,0.001,301.318,23.533,21.4045
OCT_130,10,130,131.025,9.765480216,9.76,31.37,32.035,12.715,19.027,0.247,7.985,Over,283.346,251.312,0,0.083,23.584,0.357,0.006,0.077,0.005,0.006,0.004,376.855,9.035,20.471
OCT_160,10,160,160.392,9.65883758,9.71,31.38,20.555,8.159,12.126,0.316,1.068,Over,283.61,263.056,9.007,0.347,3.113,1.014,0.114,0.088,0.006,0.023,0.016,206.937,18.849,20.718